Address,VAT_Status,Property_Description,condition on Property_Description,Size_Description,Price_Euro,Sale_Date,Year,Town
"3 COURTOWN ROAD, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,268150,09-Aug-12,2012,Kilcock
"APT 13, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"14 ROCHFORD CRESCENT, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,165000,03-Nov-14,2014,Kilcock
"3A Courtown Road, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,336237,20-Dec-13,2013,Kilcock
"154 OUGHTERANNY VILLAGE, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,197000,01-Apr-16,2016,Kilcock
"141 OUGHTERANY VILLAGE, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,155000,13-May-16,2016,Kilcock
"Unit 5 The Lamp, Bridge Street, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,123348.02,17-Jun-10,2010,Kilcock
"6 Ryebridge Green, Kilcock",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,233480,13-Apr-16,2016,Kilcock
"93 THE VILLAGE GREEN, ROYAL MEADOWS, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,122500,24-Mar-14,2014,Kilcock
"11 ROCHFORD PLACE, BAKERS WALK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,110000,03-Dec-13,2013,Kilcock
"34 RYEBRIDGE RISE, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,30000,09-Nov-15,2015,Kilcock
"Portgloriam House, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,360000,17-Dec-12,2012,Kilcock
"101 BRAYTON PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,295000,06-Nov-15,2015,Kilcock
"7 Ryebridge Green, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,237886,27-Apr-16,2016,Kilcock
"7 ROWAN HOUSE, ROYAL CANAL COURT, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,110000,11-May-16,2016,Kilcock
"122 Brayton Park, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,223000,13-Aug-12,2012,Kilcock
"49 Royal Meadows, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,300000,28-Jul-10,2010,Kilcock
"9 Courtown Park, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,217000,29-Aug-14,2014,Kilcock
"10 FAIRGREEN, KILCOCK, WICKLOW",No,Second-Hand Dwelling house /Apartment,1,,120000,29-Apr-14,2014,Kilcock
"65  BRAYTON PARK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,267500,29-Apr-10,2010,Kilcock
"29 Abbeyfield, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,270000,29-Jul-10,2010,Kilcock
"3 NEW RD, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,60000,06-May-14,2014,Kilcock
"26 The Rise, Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,189426,29-Aug-14,2014,Kilcock
"111 BRAYTON PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,265000,15-May-14,2014,Kilcock
"11 Newtown Lawns, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,525000,30-Jul-10,2010,Kilcock
"194 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,215000,31-Mar-16,2016,Kilcock
"Mountain View, Cappagh, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,250000,25-Nov-13,2013,Kilcock
"1 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,292300,28-Oct-15,2015,Kilcock
"38 Rye Bridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,134000,17-Jun-14,2014,Kilcock
"APT 5 THE LAMPS, SCHOOL STREET, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,145000,30-Oct-14,2014,Kilcock
"BERRY LODGE, BALLYCAGHAN, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,505000,30-Apr-10,2010,Kilcock
"ROSETOWN, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,290000,24-Mar-16,2016,Kilcock
"20 Ryebridge Way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,168950,19-Jun-14,2014,Kilcock
"5 ROCHFORD CRESCENT, BAKERS WALK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,157500,15-Aug-14,2014,Kilcock
"32, THE HAWTHORNS, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,200000,27-Sep-12,2012,Kilcock
"16 AYLMER LAWNS, COURTOWN PARK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,290000,28-Jun-14,2014,Kilcock
"3 CHESTNUT GROVE, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,145000,04-Jul-14,2014,Kilcock
"19 Ryebridge waqy, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,154184,19-Dec-13,2013,Kilcock
"3 Ryebridge Avenue, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,277532,06-May-10,2010,Kilcock
"THE MOUNT, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,190000,10-Jul-14,2014,Kilcock
"79 BRAYTON PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,230000,24-Mar-16,2016,Kilcock
"2 The Courtyard, Church Street, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,145000,21-Oct-15,2015,Kilcock
"Old Bog Road, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,375500,18-Oct-12,2012,Kilcock
"124 CONNAUGHT ST, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,160000,25-Jul-14,2014,Kilcock
"100 Courtown Park, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,120000,25-May-12,2012,Kilcock
"140 OUGHTERANY VILLAGE, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,166000,30-Jul-14,2014,Kilcock
"115 Brayton Park, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,207500,07-Nov-12,2012,Kilcock
"81 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,161000,15-Aug-14,2014,Kilcock
"4 RYEBRIDGE ROW, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,229074,16-Oct-15,2015,Kilcock
"132 Oushterany Village, Bransanstown, kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,167356.82,16-Feb-10,2010,Kilcock
"43 Ryebridge Lawns, Kilcock, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,110000,03-Jun-11,2011,Kilcock
"16 ROCHFORD GREEN, BAKERSWALK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,205000,26-Mar-15,2015,Kilcock
"School Street, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,200000,10-Jun-11,2011,Kilcock
"36 The Hawtorns, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,268000,05-Mar-10,2010,Kilcock
"FERRANS RD, BOYCETOWN, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,445000,25-Sep-14,2014,Kilcock
"Duncreevan House, Kilcock, Co. Kildare",No,Second-Hand Dwelling house /Apartment,1,,845000,30-Jun-11,2011,Kilcock
"18 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 125 sq metres,215859,08-Jun-15,2015,Kilcock
"DOON DARA HOUSE, BRANGANSTOWN, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,460000,16-Jul-14,2014,Kilcock
"57 ABBEYFIELD, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,290000,07-Oct-14,2014,Kilcock
"25 Ryebridge Avenue, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,185021,15-Jul-14,2014,Kilcock
"CARBERRY HOUSE, BOYCETOWN, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,187500,14-Oct-14,2014,Kilcock
"39 Ryebridge Lawns, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,101322,15-Oct-14,2014,Kilcock
"22 Ryebridge Way, Kilcock, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,176168,22-Oct-14,2014,Kilcock
"2 ryebridge green, the ryebridge, kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215859.13,26-Aug-15,2015,Kilcock
"11 ROYAL CANAL COURT, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,115000,30-Sep-15,2015,Kilcock
"13 The Hawthorns, Kilcock, County Kildare",No,Second-Hand Dwelling house /Apartment,1,,270000,28-Jul-11,2011,Kilcock
"100 Oughterany Village, Branganstown, Kilcock",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,118502,31-Oct-14,2014,Kilcock
"THE GRANGE, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,240000,08-Aug-11,2011,Kilcock
"16 Abbeyfield, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,220000,29-May-12,2012,Kilcock
"1 Ryebridge Avenue, Kilcock",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,250000,28-Nov-14,2014,Kilcock
"142 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,190000,15-Mar-16,2016,Kilcock
"3 The Courtyard, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,92000,23-Aug-11,2011,Kilcock
"23 RYEBRIDGE WAY, KILCOCK, CO KILDARE",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,162995,11-Dec-14,2014,Kilcock
"11 AYLMER DR, COURTOWN PARK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,295000,15-Jan-16,2016,Kilcock
"1 Ryebridge Way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,171806,20-Feb-15,2015,Kilcock
"3 AYLMER DR, COURTOWN PARK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,325000,13-Jan-16,2016,Kilcock
"95 ROYAL MEADOWS, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,280000,12-Dec-14,2014,Kilcock
"3 ROCHFORD GREEN, BAKERS WALK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,137000,25-Mar-14,2014,Kilcock
"APT 08, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"Apt  36 Rye Abbey, Kilcock, Co Kildare",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,15000,17-Dec-14,2014,Kilcock
"AApt 44 Rye Abbey, Kilcock, Co Kildare",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,30000,17-Dec-14,2014,Kilcock
"APT 16, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"APT 14, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,47000,17-Dec-14,2014,Kilcock
"APT 19, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"APT 2, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,40000,17-Dec-14,2014,Kilcock
"Apt 33 Rye Abbey, Kilcock, Co Kildare",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,9000,17-Dec-14,2014,Kilcock
"Apt 39 Rye Abbey, Kilcock, Co Kildare",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,30000,17-Dec-14,2014,Kilcock
"NO 4 RYE ABBEY, KILCOCK CO KILDARE",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,50000,17-Dec-14,2014,Kilcock
"93 The Village Green, Royal Meadows, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,225000,03-Aug-12,2012,Kilcock
"Boycetown, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,142500,23-Dec-13,2013,Kilcock
"18 PINEWOOD LAWNS, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,230000,23-Dec-13,2013,Kilcock
"214 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,190000,06-Feb-15,2015,Kilcock
"16 Ryebridge Way, Kilcock, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,165000,23-Dec-13,2013,Kilcock
"37 The Rise, Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215859.02,04-Mar-10,2010,Kilcock
"33 Abbeyfields, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,195000,22-Jul-13,2013,Kilcock
"95 Oughertany Village, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,134500,14-Jan-15,2015,Kilcock
"85 The Village Green, Royal Meadows, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,265000,27-Mar-13,2013,Kilcock
"16 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215858,01-Sep-15,2015,Kilcock
"3  RYEBRIDGE ROW, THE RYEBRIDGE, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,242300,04-Feb-15,2015,Kilcock
"28 COURTOWN PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,194000,05-Jun-14,2014,Kilcock
"2 NEW RD, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,46000,21-Jan-15,2015,Kilcock
"THE MILL, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,340000,23-Dec-14,2014,Kilcock
"289 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,195000,08-Jan-16,2016,Kilcock
"'Auburn House', Courtown Road, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,125000,18-Apr-13,2013,Kilcock
"12 Rochford Park, Kilcock, Co Kildare",No,Second-Hand Dwelling house /Apartment,1,,190000,19-Apr-13,2013,Kilcock
"133 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,145000,05-Feb-15,2015,Kilcock
"11 RYEBRIDGE LAWNS, RYEBRIDGE, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,95000,01-Sep-15,2015,Kilcock
"15 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,220221,10-Sep-15,2015,Kilcock
"77 BRAYTON PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,215000,09-Mar-16,2016,Kilcock
"62 Brayton park, Kilcock, County Kildare",No,Second-Hand Dwelling house /Apartment,1,,190000,18-Jul-12,2012,Kilcock
"28 Ryebridge Rise, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,211453.74,27-Jan-15,2015,Kilcock
"27 COURTOWN PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,255000,27-Feb-15,2015,Kilcock
"117, OUGHTERANY VILLAGE, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,131277.53,06-Mar-15,2015,Kilcock
"25 Ryebridge Rise, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215000,23-May-13,2013,Kilcock
"APT 09, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,47000,17-Dec-14,2014,Kilcock
"Moyglare Road, Newtown Road, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,635000,08-Oct-10,2010,Kilcock
"117 COURTOWN PARK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,210000,29-May-13,2013,Kilcock
"15 Ryebridge Way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,196035.24,12-Jan-15,2015,Kilcock
"6 Ryebridge Row, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,242290.74,25-Mar-15,2015,Kilcock
"533 COURTOWN RD, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,178000,27-Mar-15,2015,Kilcock
"103 Courtown Park, Kilcock, County Kildare",No,Second-Hand Dwelling house /Apartment,1,,120000,26-Feb-10,2010,Kilcock
"1 RYEBRIDGE ROW, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,242290.75,02-Apr-15,2015,Kilcock
"4 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,224669,02-Apr-15,2015,Kilcock
"Cappagh, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,310000,19-Mar-13,2013,Kilcock
"5 RyeBridge Row, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,242290,13-Apr-15,2015,Kilcock
"3 Chestnut Grove, Church Street, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,123000,18-Jan-12,2012,Kilcock
"112 Oughterany Village, Branganstown, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,199119,18-Feb-10,2010,Kilcock
"158 Oughterany Village, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,167400.87,20-Oct-10,2010,Kilcock
"17 PINEWOOD LAWNS, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,230000,30-Jun-14,2014,Kilcock
"7 ASPEN HOUSE, ROYAL CANAL COURT, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,115000,02-Sep-15,2015,Kilcock
"31 Ryebridge Rise, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,215000,11-Jan-12,2012,Kilcock
"165 Oughterany Village, Branganstown, Kilcock",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,145374.44,07-May-15,2015,Kilcock
"13 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,220264.32,11-Sep-15,2015,Kilcock
"33 Ryebridge Rise, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,227400.88,19-May-15,2015,Kilcock
"GRAGADDER, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,188000,21-May-15,2015,Kilcock
"APT, THE SQUARE, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,40000,24-Feb-15,2015,Kilcock
"16 royal meadows, kilcock",No,Second-Hand Dwelling house /Apartment,1,,375000,25-Mar-10,2010,Kilcock
"3 ROCHFORD COURT, BAKERS WALK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,239000,09-Feb-15,2015,Kilcock
"THE GRANGE, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,326000,22-May-15,2015,Kilcock
"19 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215859,05-Jun-15,2015,Kilcock
"113 Oughterany Village, Branganstown, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,225000,10-Jun-10,2010,Kilcock
"13 THE COURTYARD, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,167500,23-Dec-13,2013,Kilcock
"Duncreevan, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,460000,20-Aug-13,2013,Kilcock
"8 Royal Meadows, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,275000,08-Jul-11,2011,Kilcock
"70 Abbeyfield, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,215000,22-Aug-13,2013,Kilcock
"195 Chambers Park, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,207000,23-Jun-10,2010,Kilcock
"10 ROYAL CANAL COURT, CHURCH ST, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,125000,29-Jul-15,2015,Kilcock
"52 ABBEYFIELD, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,295000,03-Oct-14,2014,Kilcock
"APT 11, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"APT 32 RYE ABBEY, KILCOCK CO KILDARE",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,15000,17-Dec-14,2014,Kilcock
"115 BRAYTON PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,266000,12-Dec-14,2014,Kilcock
"2 Ryebridge way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,125550.65,17-Dec-12,2012,Kilcock
"Main Street, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,100000,25-Sep-14,2014,Kilcock
"APT 17, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,40000,17-Dec-14,2014,Kilcock
"APT 38, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,25000,17-Dec-14,2014,Kilcock
"APT 30 RYE ABBEY, KILCOCK CO KILDARE",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,9000,17-Dec-14,2014,Kilcock
"287 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,170000,08-Apr-16,2016,Kilcock
"APT 20, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"APT 17, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,47000,17-Dec-14,2014,Kilcock
"10 Rochford Drive, Bakers Walk, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,128000,18-May-12,2012,Kilcock
"68 Royal Meadows, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,245000,02-Sep-13,2013,Kilcock
"APT 15, RYE ABBEY, KILCOCK",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,60000,17-Dec-14,2014,Kilcock
"8 RYEBRIDGE GREEN, THE RYEBRIDGE, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,240616,31-Dec-15,2015,Kilcock
"16 Ryebridge Rise, Kilcock",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,220000,15-Aug-14,2014,Kilcock
"ST THERESAS COTTAGE, KILLICK, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,252000,16-Sep-15,2015,Kilcock
"Killeighter, Kilcock, Kildare",No,Second-Hand Dwelling house /Apartment,1,,300000,06-Sep-13,2013,Kilcock
"53 Ryebridge Avenue, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,176211.45,20-Aug-14,2014,Kilcock
"291 Duncreevan, Courtown Park, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,270000,20-Dec-11,2011,Kilcock
"21 Ryebridge Way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,185000,17-Jul-14,2014,Kilcock
"3 Ryebridge Green, The Ryebridge, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215859,24-Jul-15,2015,Kilcock
"Apt 35 Rye Abbey, Kilcock, Co Kildare",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,15000,17-Dec-14,2014,Kilcock
"MULHUSSEY, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,570000,28-Jul-15,2015,Kilcock
"201 CHAMBERS PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,205000,26-Nov-14,2014,Kilcock
"COURTTOWN HOUSE, COURTTOWN STUD, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,6250000,23-Jul-15,2015,Kilcock
"6 the Sycamores, Boycetown, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,207000,01-Oct-14,2014,Kilcock
"106 Royal Meadows, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,317000,19-Nov-10,2010,Kilcock
"22 Ryebridge Rise, Kilcock",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,288546.25,29-Jun-10,2010,Kilcock
"893 HIGHFIELD PARK, KILCOCK, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,175000,20-Aug-15,2015,Kilcock
"Apt. 1  The Lamps, School Street, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,87500,03-Oct-12,2012,Kilcock
"13 Ryebridge Way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,140000,06-Sep-13,2013,Kilcock
"22 Abbeyfield, Kilcock, Co Kildare",No,Second-Hand Dwelling house /Apartment,1,,249000,04-Nov-11,2011,Kilcock
"5 Ryebridge Way, Kilcock",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,135000,04-Sep-13,2013,Kilcock
"Ballycahan, Kilcock, Kildare",No,Second-Hand Dwelling house /Apartment,1,,360000,21-Jul-11,2011,Kilcock
"117 ROYAL MEADOWS, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,170000,05-Nov-13,2013,Kilcock
"70 ROYAL MEADOWS, KILCOCK",No,Second-Hand Dwelling house /Apartment,1,,323000,15-Jul-10,2010,Kilcock
"101 Oughterany Village, KILCOCK",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,118502.2,10-Dec-14,2014,Kilcock
"9 Ryebridge Avenue, Kilcock, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,193833,19-Sep-14,2014,Kilcock
"85 COURTOWN PARK, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,168000,18-Mar-16,2016,Kilcock
"Ballybrack, Kilcock, County Kildare",No,Second-Hand Dwelling house /Apartment,1,,145000,07-Oct-13,2013,Kilcock
"430 COURTOWN ROAD, KILCOCK, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,101000,15-Aug-14,2014,Kilcock
"9 The Hawthorns, Kilcock",No,Second-Hand Dwelling house /Apartment,1,,235000,04-Sep-13,2013,Kilcock
